Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
531,16/11/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,281,NA
531,21/11/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,457,NA
531,24/11/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,185,NA
531,29/11/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,39,232,NA
531,12/5/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,52,248,NA
531,12/9/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,296,NA
531,14/12/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,48,281,NA
531,19/12/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,463,NA
531,22/12/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,56,245,NA
531,27/12/2011,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,51,277,NA
60,1/5/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,53,232,NA
60,1/10/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,60,326,NA
60,13/01/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,62,387,NA
60,18/01/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,259,NA
60,21/01/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,67,352,NA
60,27/01/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,66,409,NA
60,2/2/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,168,NA
60,2/7/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,55,257,NA
60,2/10/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,330,NA
60,15/02/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,76,NA
60,24/02/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,227,NA
60,3/3/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,29,91,NA
60,3/8/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,164,NA
60,3/11/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,178,NA
60,16/03/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,247,NA
60,21/03/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,180,NA
60,24/03/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,60,256,NA
60,29/03/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,211,NA
60,4/4/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,57,150,NA
60,4/7/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,57,122,NA
60,13/04/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,172,NA
60,19/04/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,149,NA
60,25/04/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,68,NA,NA
60,28/04/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,NA,NA
60,5/4/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,207,NA
60,5/9/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,NA,NA
60,5/12/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,NA,NA
60,18/05/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,52,181,NA
60,23/05/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,208,NA
60,26/05/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,222,NA
60,6/1/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,53,171,NA
60,6/6/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,226,NA
60,6/9/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,295,NA
60,14/06/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,264,NA
60,17/06/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,286,NA
60,22/06/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,56,371,NA
60,7/1/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,255,NA
60,7/6/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,131,NA
60,7/11/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,150,NA
60,14/07/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,99,NA
60,19/07/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",NA,NA,148,NA
60,22/07/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,164,NA
60,27/07/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,31,98,NA
60,8/1/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,94,NA
60,8/4/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,29,97,NA
60,8/9/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,29,60,NA
60,8/12/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,22,41,NA
60,18/08/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,148,NA
60,24/08/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,32,87,NA
60,29/08/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,86,NA
60,9/5/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,29,64,NA
60,9/8/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,34,53,NA
60,13/09/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,34,75,NA
60,21/09/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,99,NA
60,26/09/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,148,NA
60,29/09/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,120,NA
60,10/5/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,167,NA
60,10/11/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,155,NA
60,14/10/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,134,NA
60,19/10/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",10,75,292,NA
60,25/10/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",10,78,435,NA
60,28/10/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,42,169,NA
60,11/2/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,298,NA
60,11/8/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,55,472,NA
60,14/11/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,51,341,NA
60,17/11/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,47,344,NA
60,22/11/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,68,369,NA
60,25/11/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,330,NA
60,12/1/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,49,315,NA
60,12/7/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,233,NA
60,12/12/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,54,281,NA
60,15/12/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,252,NA
60,20/12/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,49,353,NA
60,23/12/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,51,251,NA
60,28/12/2011,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",5,57,405,NA
59,1/3/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,56,312,NA
59,1/6/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,340,NA
59,1/11/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,55,405,NA
59,24/01/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,425,NA
59,28/01/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,55,331,NA
59,2/3/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,53,360,NA
59,2/8/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,54,230,NA
59,2/11/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,61,144,NA
59,17/02/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,61,116,NA
59,22/02/2011,Delhi,Delhi,"Janakpuri, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,59,169,NA
