Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
59,October - M101997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.6,29.3,NA,259
55,October - M101997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.1,35.5,NA,318
58,October - M101997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.8,27.2,NA,302
145,October - M101997,Delhi,Delhi,NA,Industrial Area,18.5,43.9,NA,471
146,October - M101997,Delhi,Delhi,NA,"Residential, Rural and other Areas",16.2,48.4,NA,453
144,October - M101997,Delhi,Delhi,NA,"Residential, Rural and other Areas",10.3,36.9,NA,286
58,November - M111997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.5,27.6,NA,244
55,November - M111997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.1,35.1,NA,303
59,November - M111997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.9,30,NA,362
60,November - M111997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",13.6,28.2,NA,329
56,November - M111997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.1,20.3,NA,271
57,November - M111997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,25.1,46.2,NA,240
145,November - M111997,Delhi,Delhi,NA,Industrial Area,16.3,45.3,NA,515
146,November - M111997,Delhi,Delhi,NA,"Residential, Rural and other Areas",13.3,48.9,NA,428
144,November - M111997,Delhi,Delhi,NA,"Residential, Rural and other Areas",9.7,46.4,NA,433
58,December - M121997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.7,38.6,NA,213
55,December - M121997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17,37.6,NA,227
59,December - M121997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.7,35.5,NA,379
60,December - M121997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",9.9,28.1,NA,284
57,December - M121997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,28.3,50.3,NA,230
56,December - M121997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.6,21.8,NA,206
145,December - M121997,Delhi,Delhi,NA,Industrial Area,18.2,47.5,NA,531
146,December - M121997,Delhi,Delhi,NA,"Residential, Rural and other Areas",15.6,48,NA,326
144,December - M121997,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.7,35.7,NA,297
